십성, 긍정심리, 부정심리, 육친(남명), 육친(여명), 상징, 음양
비견, 자부심 자존심 책임감 일관성 몰입력 한마음, 부화뇌동 독선적 비타협적 소심증 의심병, 형제 자매 친구 며느리 처남 동업자, 형제 자매 남편의 형제자매 친구 동료, 나, 중
겁재, 행동력 경쟁심 추진력 모험심 독립심 목표의식, 계산적 투쟁적 이중적 아집 난폭 신경질, 형제 자매 며느리 처남, 형제 자매 시아버지 남편의 형제자매, 나, 중
식신, 연구심 순수 활동적 이지적 현실적 조신 객관적, 관조적 내성적 공치사 게으름 의타심 다변 무절제, 장모 사위, 자식, 일(활동), 양
상관, 호기심 적극적 사회성 인정 긍정적 창조성, 과시 감성적 감정기복 즉흥적 반항아 구설수 조언무시, 할머니, 할머니 자식, 일(활동), 양
편재, 순발력 요령꾼 배짱 분석력 공간인식 재치 배려, 투기적 조급증 분주 소모적 경박 복잡 지구력 약함, 아버지 부인 부인의 형제자매 연인, 아버지 시어머니, 돈(결과), 양
정재, 안정적 합리적 현실적 차분 경제관념 유비무환, 수전노 몰인정 편협성 이중성 소극적 계산적, 부인 연인, 시어머니, 돈(결과), 양
편관, 단호함 구조적 순수 정의감 솔선수범 원칙적 책임감, 외골수적 과단성 강박관념 자기중심 냉정 완고 다혈질, 자식, 남편 연인, 명예, 음
정관, 이성적 보수적 윤리관 절제력 언행일치 느긋함 모범적, 체면중시 게으름 우유부단 답답함 거드름 공상적, 자식, 남편 며느리 연인, 명예, 음
편인, 영민 몰입 영감 상황판단 사색 민첩 외길인생 향학, 편집증 외골수적 폐쇄적 관조적 표리부동 무관심, 할아버지 어머니, 할아버지 어머니 사위, 공부, 음
정인, 정서적 다정다감 향학열 안정적 인자 모성애 박애감, 의타심 변명 소인배 자기중심 무례 부화뇌동 임기응변, 어머니 장인, 어머니, 공부, 음
