구분,이름,성격 (내적),,비고
양간,陽,대쪽같은 선비정신을 추구. 명분을 중요시하며 어떠한 힘과 세력에도 굴하지 않고 자신의 뜻을 굽히지 않는 강인한 정신력과 행동력을 가진다. ,,甲 丙 戊 庚 壬
음간,陰,시대변화에 적응. 명분보다 세력을 따라서 움직이는 경우가 많은데 사회생활을 잘 하려면 음간의 적응 능력이 더 필요하지 않을까 생각한다. ,,乙 丁 己 辛 癸
甲,갑목(甲木),성격이 활발하고 적극적이며 새로운 일을 잘 도모하며 기획. 계획. 발명 등에 능하다. 직장생활보다 자유로운 업종을 선호하며 자존심이 강하여 남에게 굽히거나 지는 것을 싫어한다. 어질고 인자하고 착하지만 강직. 단호한 면도 있다.,,1
乙,을목(乙木),성격이 어질고 부드러우며 사교성이 많다. 사치와 장식을 좋아하며 활동성이 강하고 멋쟁이가 많다. 주로 말로 먹고사는 직업을 가진 사람이 많고 언변이 능하다. 개성이 강하여 타인과 마찰이 발생하기 쉽고 입이 가볍다.,,2
丙,병화(丙火),예의를 소중하게 생각하며 밝고 명랑하며 열정적이다. 성격이 매우 급하지만 뒤끝이 없는 시원한 성격이다. 남을 무시하는 경향이 있으며 과장이 심하고 만물을 양육하는 태양의 기운으로 아는 것이 많다.,,1
丁,정화(丁火),평소에 지나칠 정도로 느긋하지만 때에 따라 불꽃같은 열정을 보이기도 한다. 겸손하고 총명하며 예민해서 판단력은 좋으나 소심함이 있다. 잔정이 많고 정에 약해 손해보는 점이 많고 배신을 잘 당한다. 남에게 악한 일은 잘 하지 않는다.,,2
戊,무토(戊土),책임감있고 성실하며 계획한 일을 박력있게 밀어 붙이는 추진력이 남달리 강하다. 신용과 신의를 소중히 여기고 말과 행동에 신중함이 있다. 중용을 너무 지켜서 때로는 무능하게 보인다. 무게가 있고 중후하고 포용력이 있다.,,1
己,기토(己土),어느 편에도 속하지 않고 중도를 지켜서 우유부단한 사람으로 오해를 사기도 하지만 사교적이고 인정이 많아 친구가 많다. 무게가 없고 말과 행동에 일치가 되지 않는 점이 흠이다. 바람둥이 기질이 있으며 이성으로 인한 아품을 겪는 일이 많다.,,2
庚,경금(庚金),결단력이 강하며 과감하며 의협심이 강해 불의를 보면 참지 못하는 성격이다. 냉정한 듯 보이지만 속은 따뜻한 정이 많은 사람이다. 착하고 순진하여 이성으로 인한 슬픔을 겪는 일이 가끔있다. 모든 일을 일사천리로 진행하는 성향이 강하다.,,1
辛,신금(辛金),냉정하고 결단력이 강하고 정은 없지만 의리가 있다. 자만심이 강해 대화와 타협을 할 줄 몰라서 사회적으로 교제에 어려움이 많다. 계산적이고 이기적이며 너무 까다로운 점이 단점이다. 지혜롭지만 너무 잘난척하는 경향이 많으며 약간의 결벽증이 있는 사람도 있다.,,2
壬,임수(壬水),본인이 손해 보는 일은 절대로 하지 않으며 색정이 강해서 바람둥이 기질이 많다. 성격이 차고 냉정하지만 마음은 따뜻하고 암기력과 기억력이 좋고 무엇이든 모으는 성질을 가져서 부자가 될 수 있는 기질을 가진 사람이 많고 때로는 도덕과 법을 무시하는 경향이 있다.,,1
癸,계수(癸水),겉은 인자하나 속은 냉정한 사람이 많고 계산이 빠르다. 목적을 위해서는 수단과 방법을 가리지 않는 사람이 많다. 자존심이 강해서 남의 말을 듣지 않으며 너무 개인적인 성향이 짙어 교제에 문제가 많다. 자기가 제일이어서 잘난척을 잘하며 자비심과 냉정함을 동시에 지녔다.,,2
합,合,사주에 천간합이나 지지육합. 지지삼합이 있으면 대화와 타협 그리고 친화력이 뛰어나서 사람들을 많이 상대하는 영업직이나 외교. 상담. 접대사업이 잘 맞다. ,합이 많으면 큰 뜻을 이루기 어렵고 인간관계로 인한 피해를 당하는 경우가 많다.,타협과 화합의 논리
충,冲,천간의 충은 두뇌가 총명함을 뜻하고 결단력이 뛰어난 것으로 판단하여 유능한 사람으로 본다. ,지지의 충은 한자리에 있지 못하고 돌아다니는 역마로 보고 직업에 참조하며 성격을 판단할 때는 경쟁심이 강하고 정치력이 있는 것으로 분석한다. 투쟁심이 강하여 발전성이 많다.,경쟁과 역마의 논리
형,刑,사주에 형이 있으면 수선. 조립. 조정. 균형을 맞추는 능력이 있는 것으로 판단하고 특별한 재능을 가진 것으로 본다. 사주가 강하고 형이 있으면 의료. 법무. 세무 등의 직업에 적합하고 ,사주에 형이 있으면 수선. 조립. 조정. 균형을 맞추는 능력이 있는 것으로 판단하고 특별한 재능을 가진 것으로 본다. 신약하면 본인이 수술을 받거나 범죄인이 되기도 하고 액난을 당하기도 한다.,변화와 조화의 논리
