공망,유형,공망월(양력),길월(吉月),흉월(凶月),지지공망 특성
子,유아독존형,12,4 6 9,1 12,유아독존형. 환경적응력. 명랑. 경쟁심리. 승부사근성. 냉철. 사교성. 미적감각. 화려한 복장. 인기맨. 자존심. 자기중심적. 개인주의
丑,돌발행동형,1,5 7 10,1 12,돌발행동형. 공명심. 단순함. 주목받길 원함. 명랑. 심성착함. 대인관계원만. 성격원만. 경쟁구도취약. 감수성. 직감과 영감. 두뇌회전. 듣는 입장. 언어의 솔직 담백함. 지구력 약함. 후회 잘함. 원상회복에 시간이 걸림.
寅,다재다능형,2,8 12,2 3,다재다능형. 기획력. 침착·냉정. 치밀한 계획. 목표의 일관성. 추진력. 신뢰의 상징. 호기심. 팔방미인형. 스펙관리 잘함. 참모형. 인내력. 욱하는 성질.
卯,자기관리형,3,7 9 11,2 3,자기관리형. 관리 철저. 포커페이스. 부화뇌동 안 함. 호불호 분명. 영감과 직감력. 질서존중. 한 번 틀어지면 절연하며 험담험구. 깔끔한 성격. 솔직 담백함. 가정적. 연상 좋아함.
辰,자기억제형,4,1 2 10,4 5,자기억제형. 착함. 인정. 포용력. 대인관계 원만. 눈치 없음. 다소경망. 수동적. 사기에 취약. 손재수. 근면. 감정풍부. 긍정적. 리더십 있지만 우유부단. 결단력 없어 실기.
巳,발명창조형,5,1 3 11,4 5,발명창조형. 잽쌈. 생각과 동시에 행동. 정서불안. 긴장감. 우울증. 편집증. 사시적. 독특한 성격. 특이한 발상과 행동. 아이디어뱅크. 발명가 기질. 평화주의자. 동정심. 과잉친절. 의타심. 이성집착. 가끔 잠적. 박애주의자. 사람을 그리워함.
午,유비무환형,6,4 10 12,6 7,유비무환형. 확인점검. 초지일관. 소통불통. 자존심 강함. 포기불가. 과오인정 안 함. 신경과민. 스트레스에 취약. 무표정. 말솜씨 없음. 사람을 못 사귐. 한 번 사귀면 영원.
未,침묵관찰형,7,1 5 11,6 7,침묵·관찰형. 말솜씨 없음. 언행일치. 신뢰감. 너무 솔직 단순. 상대 배려 없이 얘기함. 의견충돌. 대인관계문제. 먼저 말을 걸지 않음. 인내력. 지구력. 한 번 사귀면 영원. 초지일관. 과거회상형.
申,속전속결형,8,2 6 11,8 9,속전속결형. 두뇌영민. 화술. 분위기맨. 대인관계원만. 밝고 명랑. 쉽게 말을 걸고 분위기 전환. 감정의 굴곡이 심함. 변덕. 유행에 민감. 아이디어뱅크. 임사즉결. 무계획적 행동. 즉시 포기형. 자영업적성. 직업변화.
酉,마이웨이형,9,3 7 12,8 9,마이웨이형. 속박.구속.지시를 아주 싫어함. 기분파. 애교. 감정기복 심함. 자기 기분에 따라 대화 및 침묵. 자기주도형. 타인의식 안 함. 관심사 이외는 무관심. 약속 안 지킴. 미워할 수 없는 사람.
戌,책임완수형,10,4 7,10 11,책임완수형. 자존심 강함. 강직.담백. 자기관리 철저. 윤리의식 철저. 지시명령화법. 마찰구설수. 시간약속 엄격. 융통성 없음. 완벽주의자. 호불호 분명. 자기주도형. 융화문제. 한 번 사귀면 영원. 잔머리 안 통함. 정통보수. 인내력. 지구력. 서서히 목표지향.
亥,일편단심형,11,3 5 8,10 11,일편단심형. 지고 못사는 성격. 한 번 정하면 끝까지 감. 초지일관. 자기중심형. 편집증적. 인내력. 지구력. 자포자기 안 함. 상식중시. 예의 바름. 거짓말 못 함. 대인관계 서툴음. 한 번 사귀면 영원. 이성 탐함. 장고(長考). 아집.
