구분,성격 (외적),비고
비견,온화하고 솔직하며 꾸밈이 없다. 내기를 좋아하고 동작이 빠르며 승부욕이 매우 강하다. 비견이 많으면 자존심이 강하고 사회성이 떨어지며 난폭하고 충을 맞으면 대인관계가 안좋고 다툼을 좋아한다.,월지에 비견이 있으면 
겁재,특별한 재능을 지니며 크게 일을 벌일 수 있는 힘이 있는 것으로 판단한다. 경쟁력이 뛰어나고 지는 것을 싫어하며 운에 따라 큰 재물을 모으는 원동력으로 본다. 겁재가 많으면 인간성이 졸렬하고 겉으로는 웃지만 속은 사악한 사람이 많다. 투쟁심이 강하고 담백하고 솔직한 사람이 많다.,월지에 겁재나 양인이 있으면 
식신,성격이 온화하고 너그러우며 명랑하고 풍류를 좋아한다. 식신이 많으면 재주는 많으나 헛고생을 많이 하고 발전성이 없다. 표현력이 뛰어나고 식복이 많으며 재주가 비상하고 총명하다. 식신이 너무 많으면 재주는 많으나 특별한 재주가 없는 사람으로 어렵게 살아가는 경우가 많다. 대체로 후덕한 성격의 소유자로서 많은 사람과 교제를 한다.,월지에 식신이 있으면 
상관,천재성을 지니며 행동이 민첩하고 자존심이 매우 강하다. 법과 질서를 지키기 싫어하고 자기만의 세계에 빠지는 경향이 있고 상관이 많으면 교만하지만 숨김이 없고 말이 많다. 사주에 관성이 없으면 뜻이 크고 거만하다. 조직생활이 힘들고 개인적이며 충동적이고 유흥을 즐긴다. 사주에 재성이 없으면 잔재주에 능하다.,월지에 상관이 있으면 
편재,사업성이 강하고 술과 여자를 좋아한다. 남의 일에 참견하기를 좋아하고 말이 많다. 활동성이 강하여 돌아다니기를 좋아하며 투기성이 있고 민첩하며 기교가 있으면서 빈틈이 없다. 욕심이 많고 낭비가 심하다.,월지에 편재가 있으면 
정재,모든 일을 적당히 하는 성향으로 계산적이고 성실하며 조심성이 있고 부지런하다. 정재가 많으면 게으르고 결단력이 없으며 재성이 많고 신약하면 처에 의지하고 처가살이을 하는 경우가 있고 큰 재물을 관리하며 살아가는 사람도 많다.,월지에 정재가 있으면 
편관,의협심이 있고 모험을 좋아하고 승부욕이 강하다. 결단력이 뛰어나고 친화력이 좋으며 총명하고 과감성이 있으나 우월감이 많다. 편관이 많으면 힘든 직업이나 위험한 직종에 종사하게 된다. 편관이 강하고 식상이 없으면 성격이 매우 급하다.,월지에 편관이 있으면 
정관,인자하고 관대하며 인격자이고 용모도 바르고 반듯하다. 정직하고 매사에 바른 것을 좋아하고 명예를 중히 여긴다. 관살이 혼잡하면 색을 좋아하고 잔꾀에 능하고 충이 되면 관록이 오래가지 못한다.,월지에 정관이 있으면 
편인,활달한 성격에 일처리가 빠르고 재능이 있다. 기다리고 인내하는 성질이 강하여 학문적으로 성공하는 사람이 많다. 재능은 있으나 시작은 있고 끝이 없으며 한가지 일에 전념하지 못하고 변덕이 많다. 편인이 많으면 처음에는 근면하나 나중에는 태만하고 성질도 음탕하다.,월지에 편인이 있으면 
정인,지혜가 많으며 너그럽고 총명하며 인자하다. 당당한 자부심의 소유자이고 항상 느긋하며 여유있는 자태를 지니는 사람이 많다. 정인이 많으면 게으르고 자기본위가 되기쉽고 인색하다. 정인이 충되면 마음을 잡지 못하고 방황하게 된다.,월지에 정인이 있으면
