일주,일주h,성격d(日柱)60갑자별,성격e1(日柱)60갑자별,성격e2(日柱)60갑자별,성격e3(日柱)60갑자별,성격e4(日柱)60갑자별,성격e5(日柱)60갑자별
甲子,갑자,종교가 명성. 기토를 보면 직업이 자주 바뀔 수도 있다. 철학적 기질,종교계에서 명성 ,낙천적인 기질을 지니고 있고 인정이 많아 대인 관계가 원만하다. ,공과 사를 정확하게 구별하고 ,화려한 것을 좋아한다. ,내유외강의 성품을 지녔으며 인내력이 강하다.  
甲寅,갑인,주체성이 강하다. 식신으로 발전. 궁리.연구. 고집스럽지만 다정. 연구. 개발,연구. 개발 ,화통하고 명랑하다. 두뇌가 명석하고 적극적이며 자기주장이 상당히 강하다. ,화통하고 배짱이 좋으면서도 ,인정이 많아 상부상조와 융화에 힘쓰는 반면 ,감정의 굴곡이 심하다.  
甲辰,갑진,주체성 독립적 사업. 낭만적. 풍류기질. 사업이나 유통,풍류기질. 사업이나 유통 ,외향적이고 굳은 이상과 호탕함이 돋보인다. ,일을 진취적으로 진행하고 맡은 바 일에 대한 책임을 완수한다. ,명예욕이 있고 ,상대방을 일방적으로 무시하는 경향이 단점이다. 
甲午,갑오,자신의 재능을 과신. 물질적 집착. 인색,자신재능 과신 ,화통하고 어질고 인자하다. ,현실보다는 이상을 추구하고 ,왕성한 활동력을 지녔으며 정의롭다. ,창조력이 뛰어나 예술 방면에 소질이 있고 새로운 것을 추구하는 기상을 지녔다. 
甲申,갑신,살인상생. 봉사. 희생정신 ,봉사 ,명분 있고 의리 있는 일에 대해서는 신의를 저버리지 않는다. ,일에 대한 추진력이 상당해서 일을 잘 벌이지만 ,장기간 소요되는 일에는 인내력과 끈기가 부족한 면이 있다. ,  
甲戌,갑술,물질 통제력 강하고. 자신의 재능 과신. 적당한 현실성과 물욕,물질통제. 재능과신 ,독립심이 강하고 책임감 있게 일을 잘 처리해 나간다. ,성실하여 주어진 상황에서 최선을 다하고 ,공과 사를 철저하게 구분하며 ,바른말을 잘해서 주변의 오해를 잘 산다.
乙丑,을축,사업가. 인내심. 약간의 신비주의. 신비세계,사업. 인내심. 신비세계 ,신념이 강하고 성실하며 계획성이 투철하다. ,불의를 보면 용납하지 않고 ,저축을 생활화하고 불로소득을 싫어한다. ,내성적인 면이 있지만 흑백을 명백히 가릴 줄 안다.  
乙卯,을묘,독보적 고집. 속으로는 재물욕 겉으로는 담담함. 고집,고집 ,성실하며 부드러운 심성을 지녔다. ,약간 내성적인 기질은 있지만 ,명랑하고 밝고 쾌활하여 주변의 분위기를 융화시킨다. ,이상적인 일을 추구하며 결단력은 있으나 지구력은 약하다. 
乙巳,을사,소유욕 과다. 동업을 통한 능력 확대. 은근한 실속파 ,동업. 은근히 실속파 ,반짝이는 아이디어를 잘 만들어낸다. ,표현 능력이 화려하고 상상력이 풍부하며 천재적인 두뇌를 지녔다. ,세심한 성품으로 상대방의 입장을 잘 배려하고 ,정직하고 정의롭다. 
乙未,을미,물질이나 감각적인 면에 대한 궁리로서의 주체성. 연구하는 사업. 설계,연구사업. 설계 ,실속을 추구하며 상대방의 마음을 잘 파악한다. ,이상과 현실이 적절하게 조화를 이루었고 ,세심한 성품을 지녔으며 ,연구심이 출중하고 판단력과 창조력이 우수하다. 
乙酉,을유,물질욕과 봉사정신의 충돌로서 정서불안. 언행 불일치. 인성으로 해소,정서불안. 언행불일치 ,깔끔하고 냉철한 이미지를 지녔다. ,공과 사를 뚜렷이 구분하고 불의와 타협하는 일을 싫어한다. ,어떠한 고난 속에서도 참고 견뎌내려는 의지가 굳다. ,성실하고 근면하다. 
乙亥,을해,편하게 자신의 몫을 챙김. 고집과 인색함. 교육과 지도자가 필요. 직관력,직관력. 인색 ,새로운 것을 추구하며 인내심이 강하다. ,마음이 온유하여 양보를 잘하고 ,상대방의 입장을 먼저 고려하여 배려하는 심성을 지녔다. ,근면 성실하고 활동력이 있다. 
丙子,병자,합리적 표현. 객관적인 감정표현. 활발하나 이성적임,활발. 이성적 ,솔직 담백한 성품을 지녔고 예의가 바르다. ,말을 조리 있게 잘하고 일을 진행할 때 정열을 다 바친다. ,화려한 것을 좋아하고 매사가 원리 원칙적이지만 ,흥분을 잘하는 것이 단점이다. 
丙寅,병인,직관력. 직관적.감정적 일처리,직관력 ,밝고 명랑하고 ,화통한 성품을 지녔다. ,원대한 포부와 이상이 항상 마음속에서 꿈틀거리는 야망가이기도 하다. ,일을 진취적으로 추진하고 뒤로 미루는 법이 없다. 
丙辰,병진,재능을 발휘. 깊은 궁리. 학자,학자 ,심성이 곱고 양심적이지만 ,야심가이기도 하다. ,신앙심이 깊고 학문에 대한 애정이 깊다. ,공손하고 예의가 바르며 불만이 있어도 일단 참고 넘어가기 때문에 대인 관계가 원만하다. 
