십이운성,세운적용,해석
장생,長生 운을 만나면 새로운 일을 시작하여도 좋다.,-재성이나 관성이 장생지를 얻으면 발전과 성공의 발판을 마련한 것으로 간주하며 운에서 만나도 일의 시작. 사업을 시작해도 좋다는 신호로 해석할 수 있다.-편관. 편인. 겁재.상관과 동주하거나 형. 충되면 좋은 영향력이 감소된다.-시작. 출발. 개업. 계승. 장수. 발전을 상징한다.
목욕,沐浴 운을 만나면 약간의 어려움을 겪으나 점차 좋아진다.,-재성이나 관성이 목욕을 만나면 흉하게 판단하는데. 장생을 지나 왕지로 향하는 단계로 잠시 어려움을 겪을지 몰라도 발전의 과정이니 나쁘게 판단하진 않는다.-정직. 호색. 경솔. 천박. 기술. 직업이나 주소가 불안정함을 뜻한다.
관대,冠帶 운을 만나면 식상. 재성이면 사업이 번창하고 관성. 인성이면 승진의 기회가 온다.,-관성이 있고 관대를 만나면 명예나 직장발전이 기대되며. 재성이 관대를 만나면 사업이 번창하고 재산이 늘어나게 되는 발전의 징조라고 본다.-고집. 출세. 상승. 발전을 상징한다.
건록,建祿 운을 만나면 경사가 있고 재물이 발전한다.,-재성이나 관성이 록지를 얻으면 경사있고 재물 발전한다.-월지에서 만나면 부모덕이 부족하여 중년이후에 자수성가하는 경향이 많다.-발달. 진취적. 온화. 선량. 자수성가. 계승. 가정화목. 실천력을 상징한다.
제왕,帝旺 운을 만나면 최고 행운의 시절이며 기쁜 일이 많다,-제왕은 12운성 가운데서 가장 운기가 왕성한 것인데. 월지에 있으면 독립심이 강하고 상속운은 없고 금전을 낭비하는 결점이 있고 운명의 기복이 심하다.-사주에 제왕이 있으면 인간관계 능숙하고 치밀하며 권력에 대한 욕망이 많다.-재성이나 관성이 제왕을 만나면 크게 이름을 떨치거나 갑부가 된다.-여자가 일지에 제왕이 있으면 남편 덕이 부족해진다.-횡포. 절정. 독립. 명예. 권력. 낭비. 이별을 상징한다.
쇠,衰 운을 만나면 아직 기운이 남아 있으나 점차 기울어진다,-남을 의심하는 경향이 있고 직업은 학자. 종교가 등에 적합하다.-인정에 끌려 부탁을 거절하지 못하여 피해를 보고 보증을 서다가 파산하므로 주의.-재성과 관성이 쇠를 만나면 명예와 재물 운이 약해지는 모습이므로 도전. 확장을 멈추고 안정적인 형태를 취하는 것이 좋다는 시기.-신중. 보수적. 쇠퇴. 계성. 시기심. 학자. 종교인을 상징
병,病 운을 만나면 쇠퇴한 기운이 점차 두드러진다.,-病이 있는 사람은 신체가 허약하고 부모와 이별할 우려가 있다.-재성이나 관성이 병지를 만나면 현상유지에 신경써야 하는 상황을 의미한다.-신경질. 결벽증. 친척과의 인연이 없고. 질병. 오락 우유부단을 상징
사,死 운을 만나면 어떠한 일도 마무리 지어야 하는 상황이다.,-결단력 없고 소극적 성격. 학문. 예술방면에 재주가 있다.-겁이 많아 좋은 기회를 놓친다.-년지는 부모. 자녀와 인연이 없고.-월지는 형제. 자매간에 분쟁이 있고 형제의 도움을 받지 못하고.-일지는 어려서 병약하고 부모덕이 없으며.-시지는 자녀와의 인연이 박하고 자녀의 봉양을 받지 못하는 경우가 발생.-쇠퇴. 학예. 기술. 죽음. 신용을 상징
묘,墓 운을 만나면 사업실패나 해당육친과 사별 및 이별한다.,-墓가 있으면 부부의 인연이 쉽게 변한다.-금전에 대한 개념이 발달하여 모으는 것을 잘한다.-생활의 어려움은 겪지 않으나 구두쇠가 되기 쉽다.-욕심. 축적. 고독. 종교. 계승. 이별을 상징
절,絶 운을 만나면 모든 일이 뜻대로 되지 않는다,-쇠약한 운기를 대표하므로 재물과 명예를 감당하기 힘들며.-월지가 절이면 인수와 비견이 필요하고 재관은 감당할 수 없다.-단절. 이별. 고립. 파재. 인색. 단명 등의 경향을 대표하며 경제적 불안이 있고 비록 부귀한 집안 출신일지라도 결국 파산할 우려가 있다.-소심. 걱정. 불안정. 비지속성. 변동. 단절. 색정으로 인한 실패를 상징
태,胎 운을 만나면 새로운 일은 작게 시작해도 좋다.,-어려서 몸이 허약하고 평소에 과묵하지만 술을 먹으며 수다스럽다.-재성이 태지를 만나면 아주 작은 규모로 사업을 시작하여도 좋다는 의미로 골목 안이나 보이지 않는 곳에서 시작을 하여도 무방하다.-의존성. 불안. 평화. 질병. 임신. 술주정. 수다. 운기의 쇠퇴를 상징
양,養 운을 만나면 점차 자라고 있는 상태로 발전한다.,-양은 잉태하여 배속에서 자라나고 있는 모양.-재성이 양을 만나면 점차 성장을 하는 모습이므로 꾸준히 일 해나가는 시기.-인내력. 노고. 양자. 화합. 친가와의 인연부족을 상징
