천간,팔괘의 의미,글자의 의미,특징,물상
甲,진(震)으로 벼락 진.천둥.떨다.놀라다.두려워하다.움직이다. 성내다. 지진. 권위를 떨치다.,거북이 갑으로 단단한 거북이 등껍질처럼 자기만의 세상에 빠져서 살아가니 고집이 세고 혼자서 연구하는 것을 좋아한다. 글 솜씨가 좋고 기억력이 뛰어나고 직관력. 예지력. 영감이 좋다. 히스테리. 불평불만. 신경질이 많은 경우도 있다. 여자의 경우는 이러한 성정 때문에 부부인연이 좋지 못하다.,甲은 하늘로 치솟는 성질을 가지며 火가 있으면 목화통명(木火通明)이라 좋다. 10천간의 첫 글자로 항상 앞장서서 사람들을 이끄는 두목의 기질을 가진다.,건축. 가구. 옷감. 기획. 성냄. 아집. 두목. 종이. 조경
乙,손(巽)으로 손괘. 동남쪽. 유순하다. 유연하다. 공손하다. 풍(風)에 속하고 바람에 흔들리는 나뭇잎을 보고 바람을 볼 수 있다고 하여 乙을 바람이라고 한다.,새을 자로 공상과 아이디어가 풍부하다. 봄에 새싹이 꾸물꾸물 자라는 형상이나 날아가는 새를 본떠서 만든 상형문자다.,언변에 능하고 말로 먹고 사는 직업을 가진 사람들이 많다. 교육이나 상담과 같은 일에 적합하고 말이 청산유수인 사람이 많다.,교육. 문학. 서적. 보육. 교사. 패션. 미용. 장식
丙,리(離)로 떼어놓을 리. 가르다. 끊다. 나누다. 열다. 헤어지다. 물러나다. 떠나가다. 배반. 붙다. 부착. 태양의 정기로서 지상의 만물이 태양을 떠나서 생존할 수 없다.,글자 모양이 포크처럼 생겨서 먹는 것을 즐기는 식도락가가 많다. 가마솥을 엎어 놓은 것 같은 글자 모양으로 뜨겁다는 뜻이 있고 재능과 재주가 많아 예능이나 예술. 문학에 조예가 깊다.,丙은 세력이 치열하여 水기와 金기를 능히 제압하나 辛을 만나면 누그러지고 土를 만나면 자비로워진다. 다혈질로 성질이 급하지만 예절이 바르고 추진력이 뛰어나다.,예술. 언론. 조명. 스포츠. 연예. 음악. 전기. 전파. 전자. 과학
丁,리(離) 음화(陰火)로 태양이 지고 난 후에 생(生)하므로 밤하늘에 별이라고 하였다. 등촉화(燈燭火)라고 하여 어두울 때 빛을 내는 등잔불이나 촛불에 비유하기도 한다.,못 박을 때 나는 소리를 본뜬 글자이며 丁은 못을 뜻하고 한 곳에 머무는 일로 (머무르다)는 뜻을 가지고 있다. 고무래 정으로 뭐든지 모으기를 좋아한다.,丁은 부드럽고 중용을 지키니 강하여도 치열하지는 않고 甲만 있으면 가을도 겨울도 좋다. 잃어버린 물건을 찾는 세밀한 작업에 능하다.,악기. 소리. 음향. 영화. 문화. 탐사. 수사. 성악. 오락
戊,간(艮)으로 어긋날 간.거스르다.그치다 어려워하다.태양이지면 土가되니 저녁노을이라고 한다.,의식용이나 형벌 집행용 도끼 또는 (무릅쓰다)라는 뜻을 내포하고 있다. 모험심이 있고 적극적인 행동가로 의지가 강건하다. 성공에 대한 욕망이나 야망이 많고 성공 확률도 높다. 양기의 극단으로 밀어 붙이는 기운이 매우 강하다. ,戊는 견고하고 중용을 지키는데 양기의 극단으로 추진력이 매우 강하고 한다면 하는 성격으로 큰일을 도모하는 경향이 많다. ,추진력. 정치력. 무력. 중계. 보관. 알선. 권력. 야망
己,곤(坤)으로 (땅. 대지)라는 뜻이다. 하늘에서는 구름이라고 한다. ,(자기. 몸. 또렷하다. 들러붙다)라는 뜻이다. 변화가 많고 영리하며 적응력이 뛰어난 사람이 많다. 남녀가 모두 호색하여 배우자와 이별이나 이혼이 많다.,己는 본인의 의사를 잘 밝히지 않고 안으로 숨기는 경향이 많고 존재감이 부족하며 어느 쪽에도 속하지 않는 어중간한 행동으로 인해서 양쪽 모두에게 배척을 당하는 경우가 많다.,비밀. 중화. 소심. 풍류. 변덕. 실속. 세무. 중계. 공예
庚,건(乾)으로 (하늘 건. 임금)의 뜻이다. 하늘에서는 달에 비유 한다. ,종을 매달아 놓은 것을 본 뜬 글자이다. 종처럼 소리만 요란하고 실속이 없는 사람이 많다. 종을 사용하는 승려. 무속인. 법사가 되는 사람도 있다. ,庚은 강건함이 가장 앞서고 水를 득하면 청하고 火를 득하면 예리해지고 건조한 土(未. 戌)를 만나면 취약해지고 甲을 보면 극하지만 乙과는 합을 한다.,군인. 경찰. 검찰. 기계. 보안. 단순. 행동. 종교
辛,태(兌) 빛날 태. 기름지다. 서쪽. 지름길. 기뻐하다. 바꾸다. 하늘에서는 상(霜)이라 하여 서리에 비유한다. ,(매울 신)이라는 글자로 암살용 칼로도 쓰고 흑백논리가 분명하고 순진하고 외골수라서 교제 폭이 좁다. (다행할 행)자로도 쓰여서 돈 버는 재주도 가지고 있다. ,辛은 연약하여 토가 많음을 무서워하고 水가 많음을 좋아하며 고집이 세고 자기주장이 강하여 남의 말을 들으려 하지 않는다. ,냉정. 귀금속. 보석. 장신구. 도금. 용접. 계산. 거울. 칼 
壬,감(坎)으로 구덩이 감. 험하다. 험난하다. 하늘에서는 (이슬)이라고 한다. ,실을 감아놓은 실패를 본 떠서 만든 글자. 음탕하고 색욕이 강하여 가정에 문제가 발생하는 사람이 많다. 문학적 재주가 비상하여 소설가나 문학가로서 이름을 떨치는 사람이 많고 재미있고 재주가 넘쳐 매력 있는 사람이 많다. ,壬은 모으는 성질이 강해서 부자가 많고 음흉한 마음을 지니고 있다. 머리가 비상하고 융통성이 좋으나 자기 잘난 맛에 사는 경향이 있다. ,비밀. 음흉. 연구. 정보. 문학. 탐정. 수집. 저축. 선민의식
癸,감(坎) 하늘에서는 봄비에 비유 한다. ,빙글빙글 돌린다는 핵심적인 뜻이 있다. 돈. 권력. 사랑 등을 찾아서 돌아다니는 정치꾼이나 도박꾼이 많다. 두뇌가 명석하고 재치가 넘치지만 스스로 너무 자만하고 과신하는 사람도 많다. ,癸는 매우 약하고 유순하며 얼음과 같은 차가움이 있다. 본인 스스로 잘난체를 잘하여 주변으로부터 외면당하는 경우가 많다. ,유통. 판결. 결벽증. 냉정. 여행. 얼음. 정치. 세탁
子,,(아들 자)는 갓난 아기를 본 뜬 글자이다. 쥐는 동물 중에서 번식력이 너무 왕성하고 곡식을 축내는 것을 두려워해서 열두 띠 중에 하나로 만들었다고 한다. 계속하다. 불어나다. 작다는 핵심적인 뜻을 가지고 있다. ,사교적. 눈치가 빠름. 인덕이 없다. 식성이 까다롭다. ,의약품.실험실.연구실.화장실.세면장.양식장.비밀정보.경찰.흥신소.수산업.유흥업.지하실.양어장.수영장.산부인과.소아과.선박.수협.비뇨기과.외교관.수행자.술/미생물.종묘.종자/발아 
丑,,(소 축)자는 손으로 물건을 잡아서 묶으려는 모양을 본떠서 만든 글자이다. 농경시대에 소는 매우 소중한 동물이자 집안의 재산이므로 그 소중함 때문에 열두 띠로 삼았다고 한다. (잡다. 묶다. 움츠리다)라는 핵심적인 뜻을 가지고 있다. 자신감과 자존심이 강하여 타인과 충돌하는 경우가 많다.,부지런함. 성실함. 행동이 느림. 착실하다. ,광산.금고.정육점.요식업.고물상.방앗간.농장.열쇠.숙박업.백사장.골재.주차장.증권.보험.중개업.철물점.전당포.제철소.세차장 
