구분,작용력,비고
① 합,천간에 두 글자가 합이 되면 서로가 합을 탐하여 제 역할을 하지 못한다고 보아서 작용력을 상실하여 없는 것과 같다고 판단한다. 단. 지지의 합은 천간 합과는 달리 서로 돕는 작용을 하므로 작용력을 상실하지 않는다. 실제 감명에서는 천갑합이 되더라도 작용력이 반으로 떨어지는 정도로 해석을 하고 있다.,작용력 정지
② 충,지지 충은 현실적인 충으로 서로 반대의 기운이 충돌하여 작용력을 상실하지만 천간 충은 정신적인 충으로 서로 활발하게 만드는 역할을 하여 작용력을 상실하지 않는다. 실제 감명에서는 조건부로 사용되며 운에 따라서 상호작용을 하여 역마로 사용된다. 역마와 관련된 것으로는 항공. 자동차. 해운. 철도. 무역. 건설. 외교 등이 있다.,작용력 정지
③ 형,조건부. 형벌의 속성대로 사용되며. 실제 감명에서 조립이나 수선 등과 같이 제조와 유사한 직종과 인연이 있는 것으로 보거나 간섭인자로 구분하여 의료. 법무. 세무. 금융. 철학. 종교 등과 같이 권력형 직업 및 활인업에 종사하면 형의 작용력정지에서 벗어날 수 있다.,작용력 조건부 사용
④ 공망,작용력,비고
자리 공망,년. 월. 시의 자리 공망으로 년은 조상. 월은 부모와 형제. 시는 자녀와 인연을 본다. 해당 자리의 공망을 보고 그 인연이 약하거나 덕을 입는 혜택이 반감된다고 본다.,
육친 공망	,공망된 육친은 용도가 상실된다. 실제는 반감된다고 본다,
세운 공망,세운도 공망에 적용이 되며 혼란이나 무력한 상황이 발생하여 재판이나 시험에 불리하며 사망할 수도 있다고 본다.,
오행 공망,오행은 공망되지 않는다,
대운 공망,대운은 계절의 연장이라 공망되지 않는다.,
육친 영향력,재성>관성>식상>인성>비겁,
